iter	Logloss
0	0.6609789766
1	0.6307015947
2	0.6018227516
3	0.5754480309
4	0.5516428002
5	0.5302403416
6	0.5089756865
7	0.4906965474
8	0.4728785395
9	0.4568943489
10	0.4424332922
11	0.4290738729
12	0.4163589467
13	0.4052699301
14	0.3946482173
15	0.3847090578
16	0.3757836968
17	0.3670205874
18	0.3590918006
19	0.3522549936
20	0.3457938955
21	0.3394879983
22	0.3338915256
23	0.3281738394
24	0.3229710212
25	0.3185003139
26	0.3144772508
27	0.3105520574
28	0.3070226919
29	0.3035185806
30	0.3001061493
31	0.2973457831
32	0.2946135861
33	0.2919196434
34	0.2895145484
35	0.2869589347
36	0.2846243054
37	0.2826946121
38	0.2807253807
39	0.2791202805
40	0.2773655038
41	0.2757430444
42	0.2740545145
43	0.2726190413
44	0.2713536385
45	0.2700064234
46	0.2687595227
47	0.2677084609
48	0.2665921893
49	0.2656971281
50	0.2648283667
51	0.2639879438
52	0.2632242127
53	0.2623632539
54	0.2616837319
55	0.2609913243
56	0.2603154227
57	0.2596115776
58	0.2591006712
59	0.2584196008
60	0.2579334891
61	0.2573851987
62	0.2569523331
63	0.25647955
64	0.2560039318
65	0.2555437529
66	0.2551606654
67	0.2547487058
68	0.2543161442
69	0.2539856142
70	0.2536784148
71	0.2532893679
72	0.2529905809
73	0.2526832242
74	0.2524417626
75	0.2521421705
76	0.2519291463
77	0.2516639204
78	0.2513912994
79	0.2511345789
80	0.2509223974
81	0.2507118178
82	0.2505236427
83	0.2503606867
84	0.2501785321
85	0.2499878604
86	0.2498020743
87	0.2496429063
88	0.2494654173
89	0.2493377504
90	0.249153507
91	0.2490286253
92	0.2488977617
93	0.2487539836
94	0.2486178118
95	0.2485018438
96	0.248335746
97	0.2481729721
98	0.2480478262
99	0.2479440561
100	0.2478214402
101	0.2476847803
102	0.2475644479
103	0.2474274103
104	0.2473163533
105	0.2472367013
106	0.2471064411
107	0.2470043229
108	0.246881921
109	0.2467645996
110	0.2466759756
111	0.246578965
112	0.2464858894
113	0.2463837291
114	0.2462941885
115	0.2462027538
116	0.2461004519
117	0.2460351847
118	0.24596679
119	0.2458482157
120	0.2457417621
121	0.2456635568
122	0.2455822777
123	0.2455102501
124	0.2454367117
125	0.2453783153
126	0.2452991262
127	0.2452283907
128	0.2451717484
129	0.2450770887
130	0.2450290825
131	0.244970403
132	0.2449136926
133	0.244834806
134	0.2447675587
135	0.2446935906
136	0.244633512
137	0.2445570361
138	0.2444959066
139	0.2444407927
140	0.2443756095
141	0.2443171385
142	0.2442240482
143	0.2441530792
144	0.2440938626
145	0.2440568569
146	0.2439921855
147	0.2439306205
148	0.243868711
149	0.2438055125
150	0.2437464838
151	0.2436760269
152	0.2436323272
153	0.2435733176
154	0.2435247808
155	0.2434800119
156	0.2434203235
157	0.2433696724
158	0.2433234821
159	0.2432534918
160	0.2432174295
161	0.2431796624
162	0.2431279622
163	0.2430798922
164	0.2430336472
165	0.2429895163
166	0.2429452375
167	0.2429106458
168	0.2428702211
169	0.2428205068
170	0.2427655771
171	0.2427236591
172	0.2426725275
173	0.2426169851
174	0.2425531092
175	0.2424956048
176	0.2424493221
177	0.2424041654
178	0.2423608792
179	0.2423286872
180	0.2422767823
181	0.2422506577
182	0.242219347
183	0.2421783827
184	0.2421427509
185	0.242103682
186	0.2420506428
187	0.2420030987
188	0.2419533723
189	0.2419089408
190	0.2418733074
191	0.2418401638
192	0.2417999269
193	0.2417600045
194	0.2417231272
195	0.2416882989
196	0.2416607975
197	0.2416260495
198	0.2415907747
199	0.241552428
200	0.2415179454
201	0.2414771351
202	0.2414456251
203	0.2414151932
204	0.2413595061
205	0.241315687
206	0.2412832289
207	0.2412438139
208	0.2411996141
209	0.2411626891
210	0.2411313776
211	0.2410944987
212	0.2410598313
213	0.2410295853
214	0.2409971
215	0.2409607988
216	0.2409211918
217	0.2408909533
218	0.2408554461
219	0.2408208768
220	0.240788868
221	0.2407493738
222	0.2407118539
223	0.2406745297
224	0.2406459323
225	0.2406113307
226	0.2405914924
227	0.2405587216
228	0.2405385895
229	0.2405109484
230	0.240484007
231	0.2404493559
232	0.240425977
233	0.2403826628
234	0.2403478566
235	0.2403159616
236	0.2402664916
237	0.2402432728
238	0.2402186022
239	0.2401804334
240	0.2401543183
241	0.2401247158
242	0.2400986258
243	0.2400735148
244	0.2400273467
245	0.2400037118
246	0.2399737739
247	0.2399514363
248	0.2399212001
249	0.2399005228
250	0.2398723808
251	0.2398367629
252	0.2398166518
253	0.2397873664
254	0.239767138
255	0.2397515201
256	0.2397219607
257	0.2396928957
258	0.239670189
259	0.2396337757
260	0.239597416
261	0.2395714354
262	0.2395452026
263	0.2395179153
264	0.2394785086
265	0.2394543254
266	0.2394342629
267	0.239405344
268	0.2393734131
269	0.2393485196
270	0.2393289812
271	0.2393164847
