iter	Passed	Remaining
0	66	99627
1	125	94271
2	189	94529
3	261	97627
4	335	100337
5	403	100431
6	474	101205
7	528	98478
8	603	99958
9	668	99674
10	736	99681
11	814	100978
12	873	99956
13	928	98535
14	994	98486
15	1045	96990
16	1096	95658
17	1164	95852
18	1221	95196
19	1284	95073
20	1358	95670
21	1416	95149
22	1481	95158
23	1548	95253
24	1607	94825
25	1666	94479
26	1729	94344
27	1781	93631
28	1848	93760
29	1915	93855
30	1972	93464
31	2036	93403
32	2098	93267
33	2167	93459
34	2228	93262
35	2290	93137
36	2360	93336
37	2432	93587
38	2496	93527
39	2566	93669
40	2632	93670
41	2694	93547
42	2757	93441
43	2823	93436
44	2897	93679
45	2968	93825
46	3044	94125
47	3112	94149
48	3177	94094
49	3232	93744
50	3286	93380
51	3353	93394
52	3416	93263
53	3491	93499
54	3555	93409
55	3620	93366
56	3693	93512
57	3761	93525
58	3825	93422
59	3900	93603
60	3963	93507
61	4027	93411
62	4092	93345
63	4168	93528
64	4234	93493
65	4299	93409
66	4365	93364
67	4444	93601
68	4510	93551
69	4572	93419
70	4654	93677
71	4721	93648
72	4786	93558
73	4855	93565
74	4925	93578
75	4985	93405
76	5051	93355
77	5117	93295
78	5186	93285
79	5256	93305
80	5328	93354
81	5402	93422
82	5473	93452
83	5529	93204
84	5590	93061
85	5662	93095
86	5731	93083
87	5794	92978
88	5855	92833
89	5922	92778
90	5989	92737
91	6054	92662
92	6117	92557
93	6182	92473
94	6251	92453
95	6310	92294
96	6377	92245
97	6438	92112
98	6497	91950
99	6557	91810
100	6626	91790
101	6688	91673
102	6755	91631
103	6825	91614
104	6884	91468
105	6941	91291
106	7008	91235
107	7079	91246
108	7146	91204
109	7204	91035
110	7265	90916
111	7331	90863
112	7398	90817
113	7465	90765
114	7541	90825
115	7608	90775
116	7683	90821
117	7751	90779
118	7808	90612
119	7878	90597
120	7944	90541
121	8006	90436
122	8079	90456
123	8139	90326
124	8197	90170
125	8256	90033
126	8318	89936
127	8373	89752
128	8436	89665
129	8498	89560
130	8569	89551
131	8629	89428
132	8686	89286
133	8755	89255
134	8815	89136
135	8891	89173
136	8959	89133
137	9030	89123
138	9088	88985
139	9144	88834
140	9207	88748
141	9276	88718
142	9341	88643
143	9407	88585
144	9463	88435
145	9519	88286
146	9585	88224
147	9654	88196
148	9714	88085
149	9800	88201
150	9876	88231
151	9941	88161
152	10006	88097
153	10078	88085
154	10142	88010
155	10197	87855
156	10271	87864
157	10329	87734
158	10388	87617
159	10458	87588
160	10519	87488
161	10575	87347
162	10640	87275
163	10700	87168
164	10755	87020
165	10820	86958
166	10880	86848
167	10942	86758
168	11022	86810
169	11089	86760
170	11151	86671
171	11208	86542
172	11275	86489
173	11341	86430
174	11414	86425
175	11484	86391
176	11549	86325
177	11603	86177
178	11658	86036
179	11714	85909
180	11772	85791
181	11831	85677
182	11890	85574
183	11951	85476
184	12020	85442
185	12078	85331
186	12151	85319
187	12224	85311
188	12307	85372
189	12374	85317
190	12452	85341
191	12526	85337
192	12610	85400
193	12681	85373
194	12770	85462
195	12844	85454
196	12909	85385
197	12982	85371
198	13061	85392
199	13147	85458
200	13215	85409
201	13301	85473
202	13383	85510
203	13471	85582
204	13555	85632
205	13633	85638
206	13695	85549
207	13762	85485
208	13827	85414
209	13910	85449
210	13973	85363
211	14052	85375
212	14120	85318
213	14186	85251
214	14267	85274
215	14345	85277
216	14417	85244
217	14488	85201
218	14553	85129
219	14612	85016
220	14678	84947
221	14737	84840
222	14795	84726
223	14866	84683
224	14927	84589
225	14983	84463
226	15047	84386
227	15109	84294
228	15167	84185
229	15238	84140
230	15299	84048
231	15370	84006
232	15431	83912
233	15497	83847
234	15562	83770
235	15615	83636
236	15682	83575
237	15736	83440
238	15796	83344
239	15863	83282
240	15920	83169
241	15983	83088
242	16043	82989
243	16103	82895
244	16174	82851
245	16225	82712
246	16285	82615
247	16348	82533
248	16402	82409
249	16451	82255
250	16502	82116
251	16572	82072
252	16632	81980
253	16696	81906
254	16751	81786
255	16802	81649
256	16884	81663
257	16965	81672
258	17031	81606
259	17104	81575
260	17161	81469
261	17215	81348
262	17281	81284
263	17346	81213
264	17413	81154
265	17476	81075
266	17535	80978
267	17605	80930
268	17666	80845
269	17727	80759
270	17781	80638
271	17831	80506
272	17894	80426
273	17952	80328
274	18012	80238
275	18068	80128
276	18133	80061
277	18186	79940
278	18240	79826
279	18301	79743
280	18362	79657
281	18423	79575
282	18480	79473
283	18545	79405
284	18613	79352
285	18669	79247
286	18725	79143
287	18791	79079
288	18861	79034
289	18926	78968
290	18991	78901
291	19049	78808
292	19113	78738
293	19171	78641
294	19222	78519
295	19284	78439
296	19346	78363
297	19408	78285
298	19480	78249
299	19545	78182
300	19599	78071
301	19657	77979
302	19720	77904
303	19783	77833
304	19843	77748
305	19909	77685
306	19981	77646
307	20039	77556
308	20099	77470
309	20159	77388
310	20227	77332
311	20301	77302
312	20352	77184
313	20423	77139
314	20481	77048
315	20545	76980
316	20627	76979
317	20693	76916
318	20762	76866
319	20823	76787
320	20875	76672
321	20939	76604
322	21005	76544
323	21074	76491
324	21138	76422
325	21207	76371
326	21280	76335
327	21352	76297
328	21421	76246
